127.0.0.1, 2010-09-15 16:16:12, GET, /admin/default/peek/init/controllers/customers.py, HTTP/1.1, 200, 0.050533
127.0.0.1, 2010-09-15 16:16:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000570
127.0.0.1, 2010-09-15 16:16:21, GET, /admin/default/site, HTTP/1.1, 200, 0.058331
127.0.0.1, 2010-09-15 16:16:23, GET, /admin/default/twitter, HTTP/1.1, 200, 1.602759
127.0.0.1, 2010-09-15 16:16:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000659
127.0.0.1, 2010-09-15 16:16:30, GET, /admin/default/design/init, HTTP/1.1, 200, 0.098597
127.0.0.1, 2010-09-15 16:16:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000677
127.0.0.1, 2010-09-15 16:16:38, GET, /admin/default/site, HTTP/1.1, 200, 0.054445
127.0.0.1, 2010-09-15 16:16:38, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000672
127.0.0.1, 2010-09-15 16:16:38, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.000633
127.0.0.1, 2010-09-15 16:16:38, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2010-09-15 16:16:38, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000742
127.0.0.1, 2010-09-15 16:16:38, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000810
127.0.0.1, 2010-09-15 16:16:39, GET, /admin/default/twitter, HTTP/1.1, 200, 1.614266
127.0.0.1, 2010-09-15 16:16:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000623
127.0.0.1, 2010-09-16 10:28:41, GET, /, HTTP/1.1, 303, 0.035049
127.0.0.1, 2010-09-16 10:28:41, GET, /init/default/user/login, HTTP/1.1, 200, 0.043485
127.0.0.1, 2010-09-16 10:28:41, GET, /init/static/jquery.js, HTTP/1.1, 304, 0.000717
127.0.0.1, 2010-09-16 10:28:41, GET, /init/static/calendar.css, HTTP/1.1, 304, 0.000662
127.0.0.1, 2010-09-16 10:28:41, GET, /init/static/calendar.js, HTTP/1.1, 304, 0.000697
127.0.0.1, 2010-09-16 10:28:42, GET, /init/static/superfish.js, HTTP/1.1, 304, 0.000715
127.0.0.1, 2010-09-16 10:28:42, GET, /init/static/base.css, HTTP/1.1, 304, 0.000596
127.0.0.1, 2010-09-16 10:28:42, GET, /init/static/images/logo.png, HTTP/1.1, 304, 0.000694
127.0.0.1, 2010-09-16 10:28:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000530
127.0.0.1, 2010-09-16 10:28:46, GET, /admin, HTTP/1.1, 200, 0.045698
127.0.0.1, 2010-09-16 10:28:46, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.001949
127.0.0.1, 2010-09-16 10:28:46, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.000615
127.0.0.1, 2010-09-16 10:28:46, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.000720
127.0.0.1, 2010-09-16 10:28:46, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.000627
127.0.0.1, 2010-09-16 10:28:47, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000690
127.0.0.1, 2010-09-16 10:28:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000585
127.0.0.1, 2010-09-16 10:28:49, POST, /admin/default/index, HTTP/1.1, 303, 0.036543
127.0.0.1, 2010-09-16 10:28:49, GET, /admin/default/site, HTTP/1.1, 200, 0.057049
127.0.0.1, 2010-09-16 10:28:49, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.002639
127.0.0.1, 2010-09-16 10:28:49, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.001954
127.0.0.1, 2010-09-16 10:28:49, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.001591
127.0.0.1, 2010-09-16 10:28:49, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.001704
127.0.0.1, 2010-09-16 10:28:50, GET, /admin/static/title.png, HTTP/1.1, 304, 0.000579
127.0.0.1, 2010-09-16 10:28:50, POST, /admin/default/check_version, HTTP/1.1, 200, 0.612944
127.0.0.1, 2010-09-16 10:28:51, GET, /admin/default/twitter, HTTP/1.1, 200, 1.371964
127.0.0.1, 2010-09-16 10:28:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000679
127.0.0.1, 2010-09-16 10:28:57, GET, /admin/default/upgrade_web2py, HTTP/1.1, 200, 0.045393
127.0.0.1, 2010-09-16 10:28:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000859
127.0.0.1, 2010-09-16 10:29:16, POST, /admin/default/upgrade_web2py, HTTP/1.1, 303, 17.900700
127.0.0.1, 2010-09-16 10:29:16, GET, /admin/default/site, HTTP/1.1, 200, 0.184542
127.0.0.1, 2010-09-16 10:29:16, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000727
127.0.0.1, 2010-09-16 10:29:16, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.001160
127.0.0.1, 2010-09-16 10:29:16, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.004583
127.0.0.1, 2010-09-16 10:29:16, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.002276
127.0.0.1, 2010-09-16 10:29:16, GET, /admin/static/title.png, HTTP/1.1, 200, 0.007850
127.0.0.1, 2010-09-16 10:29:18, GET, /admin/default/twitter, HTTP/1.1, 200, 1.499080
127.0.0.1, 2010-09-16 10:29:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000842
